------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Pulse
Rate_Hz,20
UTC,5.00
Day light saving time,No
Window_Sec,5
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Crep_1
S2,Crep_2
S3,Crep_3
S4,Crep_4
S5,Crep_5
S6,Crep_6
S7,Crep_7
S8,Crep_8
S9,Crep_9
S10,Crep_10
------------------------------,--------------------
Time,Crep_1,Crep_2,Crep_3,Crep_4,Crep_5,Crep_6,Crep_7,Crep_8,Crep_9,Crep_10
2024-06-04 15:10:00.436,1499,1571,1518,1629,1566,1510,1373,1387,1420,1429
2024-06-04 15:10:00.483,1491,1561,1512,1619,1564,1513,1357,1379,1399,1449
2024-06-04 15:10:00.533,1497,1572,1516,1609,1592,1562,1509,1483,1508,1517
2024-06-04 15:10:00.583,1519,1571,1523,1614,1604,1577,1605,1533,1560,1555
2024-06-04 15:10:00.633,1531,1579,1541,1613,1619,1606,1635,1571,1605,1577
2024-06-04 15:10:00.683,1526,1582,1532,1609,1618,1605,1642,1573,1605,1579
2024-06-04 15:10:00.733,1545,1580,1547,1623,1619,1603,1659,1575,1606,1580
2024-06-04 15:10:00.783,1546,1597,1554,1624,1629,1615,1662,1583,1619,1591
2024-06-04 15:10:00.833,1549,1587,1545,1629,1619,1607,1655,1575,1609,1586
2024-06-04 15:10:00.883,1527,1582,1531,1613,1619,1603,1636,1571,1605,1577
2024-06-04 15:10:00.933,1541,1587,1534,1627,1617,1599,1651,1571,1603,1581
2024-06-04 15:10:00.983,1555,1592,1548,1629,1625,1609,1654,1573,1608,1582
2024-06-04 15:10:01.033,1544,1591,1548,1620,1624,1609,1635,1573,1607,1582
2024-06-04 15:10:01.083,1533,1587,1541,1615,1618,1598,1627,1563,1595,1577
2024-06-04 15:10:01.133,1531,1567,1527,1612,1595,1579,1619,1551,1575,1561
2024-06-04 15:10:01.183,1516,1563,1523,1609,1591,1573,1611,1543,1567,1567
2024-06-04 15:10:01.233,1517,1563,1508,1607,1591,1572,1607,1530,1563,1559
2024-06-04 15:10:01.283,1513,1561,1508,1605,1587,1567,1607,1527,1562,1557
2024-06-04 15:10:01.333,1517,1575,1525,1611,1603,1573,1608,1549,1575,1561
2024-06-04 15:10:01.383,1526,1575,1531,1613,1596,1579,1611,1555,1573,1563
2024-06-04 15:10:01.433,1530,1573,1529,1619,1603,1578,1613,1549,1573,1562
2024-06-04 15:10:01.483,1527,1580,1533,1613,1613,1594,1611,1559,1589,1563
2024-06-04 15:10:01.533,1529,1574,1543,1619,1599,1581,1613,1559,1580,1560
2024-06-04 15:10:01.583,1519,1567,1527,1610,1599,1575,1605,1547,1572,1557
2024-06-04 15:10:01.633,1525,1565,1527,1609,1593,1576,1608,1528,1564,1558
2024-06-04 15:10:01.683,1529,1573,1519,1619,1599,1582,1611,1541,1571,1563
2024-06-04 15:10:01.733,1525,1582,1533,1612,1611,1594,1611,1553,1583,1573
2024-06-04 15:10:01.783,1542,1579,1551,1623,1609,1587,1618,1557,1579,1565
2024-06-04 15:10:01.833,1533,1583,1533,1628,1613,1595,1625,1553,1581,1571
2024-06-04 15:10:01.883,1529,1588,1535,1620,1615,1595,1611,1556,1583,1564
2024-06-04 15:10:01.933,1531,1579,1529,1625,1608,1587,1618,1546,1578,1567
2024-06-04 15:10:01.983,1520,1575,1525,1615,1603,1581,1607,1544,1575,1563
2024-06-04 15:10:02.033,1520,1567,1528,1611,1603,1577,1597,1545,1571,1553
2024-06-04 15:10:02.083,1513,1573,1519,1604,1597,1577,1590,1533,1571,1560
2024-06-04 15:10:02.133,1517,1575,1519,1607,1597,1579,1595,1540,1567,1563
2024-06-04 15:10:02.183,1527,1587,1541,1618,1613,1595,1608,1554,1581,1571
2024-06-04 15:10:02.233,1543,1589,1542,1623,1613,1595,1623,1555,1582,1567
2024-06-04 15:10:02.283,1527,1572,1519,1614,1594,1576,1605,1528,1563,1560
2024-06-04 15:10:02.333,1515,1565,1520,1605,1598,1579,1589,1541,1568,1555
2024-06-04 15:10:02.383,1519,1565,1519,1609,1591,1573,1597,1527,1561,1557
2024-06-04 15:10:02.433,1517,1576,1527,1608,1606,1581,1596,1541,1573,1557
2024-06-04 15:10:02.483,1517,1575,1523,1606,1605,1575,1593,1533,1571,1553
2024-06-04 15:10:02.533,1526,1573,1529,1611,1596,1575,1598,1545,1562,1555
2024-06-04 15:10:02.583,1519,1567,1528,1610,1607,1589,1598,1545,1575,1562
2024-06-04 15:10:02.633,1523,1571,1527,1612,1594,1575,1598,1543,1563,1559
2024-06-04 15:10:02.683,1519,1574,1517,1618,1596,1577,1609,1531,1565,1557
2024-06-04 15:10:02.733,1519,1571,1528,1611,1607,1576,1595,1543,1566,1557
2024-06-04 15:10:02.783,1524,1569,1513,1614,1594,1575,1605,1527,1561,1557
2024-06-04 15:10:02.833,1523,1568,1517,1610,1593,1576,1598,1527,1561,1555
2024-06-04 15:10:02.883,1529,1579,1525,1619,1607,1587,1614,1546,1573,1564
2024-06-04 15:10:02.933,1524,1582,1532,1613,1611,1592,1605,1547,1577,1565
2024-06-04 15:10:02.983,1529,1576,1526,1623,1606,1581,1612,1543,1568,1562
2024-06-04 15:10:03.033,1527,1573,1531,1613,1608,1577,1603,1547,1570,1557
2024-06-04 15:10:03.083,1532,1576,1533,1622,1603,1583,1609,1553,1568,1563
2024-06-04 15:10:03.133,1530,1591,1545,1622,1619,1599,1612,1557,1588,1573
2024-06-04 15:10:03.183,1518,1582,1528,1626,1595,1571,1563,1509,1543,1543
2024-06-04 15:10:03.233,1525,1577,1530,1614,1606,1588,1579,1529,1563,1557
2024-06-04 15:10:03.283,1519,1579,1527,1625,1606,1589,1611,1543,1575,1563
2024-06-04 15:10:03.333,1529,1573,1523,1617,1597,1579,1608,1545,1566,1561
2024-06-04 15:10:03.383,1518,1577,1519,1619,1598,1581,1612,1541,1573,1560
2024-06-04 15:10:03.433,1525,1573,1529,1614,1611,1589,1607,1553,1576,1558
2024-06-04 15:10:03.483,1515,1575,1519,1610,1603,1581,1609,1543,1574,1563
