1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000006A9A2C21
Is Mission Active?  true
Mission Start:  Tue Jun 17 10:18:00 EDT 2025
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  94
Total Samples:  1227
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/17/25 10:18:00 AM,C,26.5
6/17/25 10:23:00 AM,C,24.5
6/17/25 10:28:00 AM,C,24
6/17/25 10:33:00 AM,C,25.5
6/17/25 10:38:00 AM,C,24.5
6/17/25 10:43:00 AM,C,23.5
6/17/25 10:48:00 AM,C,23.5
6/17/25 10:53:00 AM,C,23
6/17/25 10:58:00 AM,C,23
6/17/25 11:03:00 AM,C,23
6/17/25 11:08:00 AM,C,23
6/17/25 11:13:00 AM,C,23
6/17/25 11:18:00 AM,C,23
6/17/25 11:23:00 AM,C,23.5
6/17/25 11:28:00 AM,C,23.5
6/17/25 11:33:00 AM,C,23.5
6/17/25 11:38:00 AM,C,23.5
6/17/25 11:43:00 AM,C,24
6/17/25 11:48:00 AM,C,23
6/17/25 11:53:00 AM,C,28.5
6/17/25 11:58:00 AM,C,29.5
6/17/25 12:03:00 PM,C,30
6/17/25 12:08:00 PM,C,30.5
6/17/25 12:13:00 PM,C,31.5
6/17/25 12:18:00 PM,C,32
6/17/25 12:23:00 PM,C,32.5
6/17/25 12:28:00 PM,C,33
6/17/25 12:33:00 PM,C,33.5
6/17/25 12:38:00 PM,C,34
6/17/25 12:43:00 PM,C,34
6/17/25 12:48:00 PM,C,34.5
6/17/25 12:53:00 PM,C,34.5
6/17/25 12:58:00 PM,C,34.5
6/17/25 1:03:00 PM,C,35
6/17/25 1:08:00 PM,C,35
6/17/25 1:13:00 PM,C,35
6/17/25 1:18:00 PM,C,35
6/17/25 1:23:00 PM,C,35
6/17/25 1:28:00 PM,C,35
6/17/25 1:33:00 PM,C,35
6/17/25 1:38:00 PM,C,35
6/17/25 1:43:00 PM,C,35
6/17/25 1:48:00 PM,C,35.5
6/17/25 1:53:00 PM,C,35.5
6/17/25 1:58:00 PM,C,35.5
6/17/25 2:03:00 PM,C,35.5
6/17/25 2:08:00 PM,C,35.5
6/17/25 2:13:00 PM,C,35.5
6/17/25 2:18:00 PM,C,35.5
6/17/25 2:23:00 PM,C,35.5
6/17/25 2:28:00 PM,C,35.5
6/17/25 2:33:00 PM,C,35.5
6/17/25 2:38:00 PM,C,35.5
6/17/25 2:43:00 PM,C,35.5
6/17/25 2:48:00 PM,C,35.5
6/17/25 2:53:00 PM,C,35.5
6/17/25 2:58:00 PM,C,35.5
6/17/25 3:03:00 PM,C,35.5
6/17/25 3:08:00 PM,C,35.5
6/17/25 3:13:00 PM,C,35.5
6/17/25 3:18:00 PM,C,35.5
6/17/25 3:23:00 PM,C,35.5
6/17/25 3:28:00 PM,C,35.5
6/17/25 3:33:00 PM,C,35.5
6/17/25 3:38:00 PM,C,35.5
6/17/25 3:43:00 PM,C,35.5
6/17/25 3:48:00 PM,C,35.5
6/17/25 3:53:00 PM,C,35.5
6/17/25 3:58:00 PM,C,35.5
6/17/25 4:03:00 PM,C,35
6/17/25 4:08:00 PM,C,35
6/17/25 4:13:00 PM,C,35
6/17/25 4:18:00 PM,C,35.5
6/17/25 4:23:00 PM,C,35.5
6/17/25 4:28:00 PM,C,35.5
6/17/25 4:33:00 PM,C,35
6/17/25 4:38:00 PM,C,35
6/17/25 4:43:00 PM,C,35
6/17/25 4:48:00 PM,C,35
6/17/25 4:53:00 PM,C,35
6/17/25 4:58:00 PM,C,35.5
6/17/25 5:03:00 PM,C,35
6/17/25 5:08:00 PM,C,35
6/17/25 5:13:00 PM,C,35
6/17/25 5:18:00 PM,C,35
6/17/25 5:23:00 PM,C,35
6/17/25 5:28:00 PM,C,35
6/17/25 5:33:00 PM,C,35
6/17/25 5:38:00 PM,C,34
6/17/25 5:43:00 PM,C,33
6/17/25 5:48:00 PM,C,33
6/17/25 5:53:00 PM,C,32
6/17/25 5:58:00 PM,C,29
6/17/25 6:03:00 PM,C,23
