1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B30000006A967321
Is Mission Active?  false
Mission Start:  Fri Jun 13 17:28:00 EDT 2025
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  244
Total Samples:  538
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/13/25 5:28:00 PM,C,27
6/13/25 5:33:00 PM,C,24
6/13/25 5:38:00 PM,C,23
6/13/25 5:43:00 PM,C,23
6/13/25 5:48:00 PM,C,23.5
6/13/25 5:53:00 PM,C,23.5
6/13/25 5:58:00 PM,C,24
6/13/25 6:03:00 PM,C,24.5
6/13/25 6:08:00 PM,C,24.5
6/13/25 6:13:00 PM,C,25
6/13/25 6:18:00 PM,C,25
6/13/25 6:23:00 PM,C,25
6/13/25 6:28:00 PM,C,25
6/13/25 6:33:00 PM,C,25.5
6/13/25 6:38:00 PM,C,25.5
6/13/25 6:43:00 PM,C,25.5
6/13/25 6:48:00 PM,C,25.5
6/13/25 6:53:00 PM,C,26
6/13/25 6:58:00 PM,C,33.5
6/13/25 7:03:00 PM,C,33.5
6/13/25 7:08:00 PM,C,34
6/13/25 7:13:00 PM,C,34.5
6/13/25 7:18:00 PM,C,34.5
6/13/25 7:23:00 PM,C,35
6/13/25 7:28:00 PM,C,35.5
6/13/25 7:33:00 PM,C,35.5
6/13/25 7:38:00 PM,C,35.5
6/13/25 7:43:00 PM,C,35.5
6/13/25 7:48:00 PM,C,36
6/13/25 7:53:00 PM,C,36
6/13/25 7:58:00 PM,C,36
6/13/25 8:03:00 PM,C,36
6/13/25 8:08:00 PM,C,36
6/13/25 8:13:00 PM,C,36.5
6/13/25 8:18:00 PM,C,36.5
6/13/25 8:23:00 PM,C,36.5
6/13/25 8:28:00 PM,C,36.5
6/13/25 8:33:00 PM,C,36.5
6/13/25 8:38:00 PM,C,36.5
6/13/25 8:43:00 PM,C,36.5
6/13/25 8:48:00 PM,C,36.5
6/13/25 8:53:00 PM,C,36.5
6/13/25 8:58:00 PM,C,36.5
6/13/25 9:03:00 PM,C,36.5
6/13/25 9:08:00 PM,C,36.5
6/13/25 9:13:00 PM,C,36.5
6/13/25 9:18:00 PM,C,36.5
6/13/25 9:23:00 PM,C,36.5
6/13/25 9:28:00 PM,C,36.5
6/13/25 9:33:00 PM,C,36.5
6/13/25 9:38:00 PM,C,36.5
6/13/25 9:43:00 PM,C,36.5
6/13/25 9:48:00 PM,C,36.5
6/13/25 9:53:00 PM,C,36.5
6/13/25 9:58:00 PM,C,36.5
6/13/25 10:03:00 PM,C,36.5
6/13/25 10:08:00 PM,C,36.5
6/13/25 10:13:00 PM,C,36.5
6/13/25 10:18:00 PM,C,36.5
6/13/25 10:23:00 PM,C,36.5
6/13/25 10:28:00 PM,C,36.5
6/13/25 10:33:00 PM,C,36.5
6/13/25 10:38:00 PM,C,35.5
6/13/25 10:43:00 PM,C,34.5
6/13/25 10:48:00 PM,C,33.5
6/13/25 10:53:00 PM,C,33.5
6/13/25 10:58:00 PM,C,33.5
6/13/25 11:03:00 PM,C,33.5
6/13/25 11:08:00 PM,C,34
6/13/25 11:13:00 PM,C,34
6/13/25 11:18:00 PM,C,34
6/13/25 11:23:00 PM,C,34.5
6/13/25 11:28:00 PM,C,34.5
6/13/25 11:33:00 PM,C,34.5
6/13/25 11:38:00 PM,C,35
6/13/25 11:43:00 PM,C,35
6/13/25 11:48:00 PM,C,35
6/13/25 11:53:00 PM,C,35
6/13/25 11:58:00 PM,C,35.5
6/14/25 12:03:00 AM,C,35.5
6/14/25 12:08:00 AM,C,35.5
6/14/25 12:13:00 AM,C,35.5
6/14/25 12:18:00 AM,C,35.5
6/14/25 12:23:00 AM,C,35.5
6/14/25 12:28:00 AM,C,36
6/14/25 12:33:00 AM,C,36
6/14/25 12:38:00 AM,C,36
6/14/25 12:43:00 AM,C,36
6/14/25 12:48:00 AM,C,36
6/14/25 12:53:00 AM,C,36
6/14/25 12:58:00 AM,C,36
6/14/25 1:03:00 AM,C,36
6/14/25 1:08:00 AM,C,36
6/14/25 1:13:00 AM,C,36
6/14/25 1:18:00 AM,C,36
6/14/25 1:23:00 AM,C,36
6/14/25 1:28:00 AM,C,36
6/14/25 1:33:00 AM,C,36
6/14/25 1:38:00 AM,C,36
6/14/25 1:43:00 AM,C,36
6/14/25 1:48:00 AM,C,36
6/14/25 1:53:00 AM,C,36
6/14/25 1:58:00 AM,C,36
6/14/25 2:03:00 AM,C,36
6/14/25 2:08:00 AM,C,36
6/14/25 2:13:00 AM,C,36
6/14/25 2:18:00 AM,C,36
6/14/25 2:23:00 AM,C,36
6/14/25 2:28:00 AM,C,36
6/14/25 2:33:00 AM,C,36
6/14/25 2:38:00 AM,C,36
6/14/25 2:43:00 AM,C,36
6/14/25 2:48:00 AM,C,36
6/14/25 2:53:00 AM,C,36
6/14/25 2:58:00 AM,C,36
6/14/25 3:03:00 AM,C,36
6/14/25 3:08:00 AM,C,36
6/14/25 3:13:00 AM,C,36
6/14/25 3:18:00 AM,C,36.5
