1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B30000006A967321
Is Mission Active?  true
Mission Start:  Fri Jun 20 09:49:00 EDT 2025
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  90
Total Samples:  2078
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/20/25 9:49:00 AM,C,27.5
6/20/25 9:54:00 AM,C,26
6/20/25 9:59:00 AM,C,23.5
6/20/25 10:04:00 AM,C,22.5
6/20/25 10:09:00 AM,C,22
6/20/25 10:14:00 AM,C,22
6/20/25 10:19:00 AM,C,22
6/20/25 10:24:00 AM,C,22
6/20/25 10:29:00 AM,C,22
6/20/25 10:34:00 AM,C,22
6/20/25 10:39:00 AM,C,22
6/20/25 10:44:00 AM,C,22
6/20/25 10:49:00 AM,C,22
6/20/25 10:54:00 AM,C,22
6/20/25 10:59:00 AM,C,22
6/20/25 11:04:00 AM,C,22
6/20/25 11:09:00 AM,C,22
6/20/25 11:14:00 AM,C,22
6/20/25 11:19:00 AM,C,22
6/20/25 11:24:00 AM,C,22
6/20/25 11:29:00 AM,C,22
6/20/25 11:34:00 AM,C,22
6/20/25 11:39:00 AM,C,22
6/20/25 11:44:00 AM,C,22
6/20/25 11:49:00 AM,C,22
6/20/25 11:54:00 AM,C,22
6/20/25 11:59:00 AM,C,22
6/20/25 12:04:00 PM,C,22
6/20/25 12:09:00 PM,C,22
6/20/25 12:14:00 PM,C,22
6/20/25 12:19:00 PM,C,22
6/20/25 12:24:00 PM,C,22
6/20/25 12:29:00 PM,C,22
6/20/25 12:34:00 PM,C,22
6/20/25 12:39:00 PM,C,22
6/20/25 12:44:00 PM,C,22
6/20/25 12:49:00 PM,C,22
6/20/25 12:54:00 PM,C,22
6/20/25 12:59:00 PM,C,22
6/20/25 1:04:00 PM,C,22
6/20/25 1:09:00 PM,C,22
6/20/25 1:14:00 PM,C,22
6/20/25 1:19:00 PM,C,22.5
6/20/25 1:24:00 PM,C,22.5
6/20/25 1:29:00 PM,C,24
6/20/25 1:34:00 PM,C,25
6/20/25 1:39:00 PM,C,31.5
6/20/25 1:44:00 PM,C,32
6/20/25 1:49:00 PM,C,33
6/20/25 1:54:00 PM,C,34
6/20/25 1:59:00 PM,C,34.5
6/20/25 2:04:00 PM,C,35.5
6/20/25 2:09:00 PM,C,36
6/20/25 2:14:00 PM,C,36.5
6/20/25 2:19:00 PM,C,37
6/20/25 2:24:00 PM,C,37
6/20/25 2:29:00 PM,C,37.5
6/20/25 2:34:00 PM,C,37.5
6/20/25 2:39:00 PM,C,38
6/20/25 2:44:00 PM,C,38
6/20/25 2:49:00 PM,C,38
6/20/25 2:54:00 PM,C,38
6/20/25 2:59:00 PM,C,38
6/20/25 3:04:00 PM,C,38
6/20/25 3:09:00 PM,C,38
6/20/25 3:14:00 PM,C,38.5
6/20/25 3:19:00 PM,C,38.5
6/20/25 3:24:00 PM,C,38.5
6/20/25 3:29:00 PM,C,38.5
6/20/25 3:34:00 PM,C,38.5
6/20/25 3:39:00 PM,C,38.5
6/20/25 3:44:00 PM,C,38.5
6/20/25 3:49:00 PM,C,38.5
6/20/25 3:54:00 PM,C,38.5
6/20/25 3:59:00 PM,C,38.5
6/20/25 4:04:00 PM,C,38.5
6/20/25 4:09:00 PM,C,38.5
6/20/25 4:14:00 PM,C,38.5
6/20/25 4:19:00 PM,C,37.5
6/20/25 4:24:00 PM,C,34.5
6/20/25 4:29:00 PM,C,32
6/20/25 4:34:00 PM,C,27.5
6/20/25 4:39:00 PM,C,23
6/20/25 4:44:00 PM,C,22.5
6/20/25 4:49:00 PM,C,22.5
6/20/25 4:54:00 PM,C,22.5
6/20/25 4:59:00 PM,C,22.5
6/20/25 5:04:00 PM,C,22.5
6/20/25 5:09:00 PM,C,22.5
6/20/25 5:14:00 PM,C,22.5
