1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 900000006A918321
Is Mission Active?  true
Mission Start:  Mon Jun 16 12:02:00 EDT 2025
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  267
Total Samples:  1344
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/16/25 12:02:00 PM,C,28.5
6/16/25 12:07:00 PM,C,28.5
6/16/25 12:12:00 PM,C,29
6/16/25 12:17:00 PM,C,29.5
6/16/25 12:22:00 PM,C,30
6/16/25 12:27:00 PM,C,30.5
6/16/25 12:32:00 PM,C,31
6/16/25 12:37:00 PM,C,31
6/16/25 12:42:00 PM,C,31
6/16/25 12:47:00 PM,C,31.5
6/16/25 12:52:00 PM,C,31.5
6/16/25 12:57:00 PM,C,31.5
6/16/25 1:02:00 PM,C,32
6/16/25 1:07:00 PM,C,32
6/16/25 1:12:00 PM,C,32
6/16/25 1:17:00 PM,C,32
6/16/25 1:22:00 PM,C,32
6/16/25 1:27:00 PM,C,32
6/16/25 1:32:00 PM,C,32
6/16/25 1:37:00 PM,C,32
6/16/25 1:42:00 PM,C,32
6/16/25 1:47:00 PM,C,32
6/16/25 1:52:00 PM,C,32
6/16/25 1:57:00 PM,C,32
6/16/25 2:02:00 PM,C,32.5
6/16/25 2:07:00 PM,C,32.5
6/16/25 2:12:00 PM,C,32.5
6/16/25 2:17:00 PM,C,32.5
6/16/25 2:22:00 PM,C,32.5
6/16/25 2:27:00 PM,C,32.5
6/16/25 2:32:00 PM,C,32.5
6/16/25 2:37:00 PM,C,32.5
6/16/25 2:42:00 PM,C,32.5
6/16/25 2:47:00 PM,C,32.5
6/16/25 2:52:00 PM,C,32.5
6/16/25 2:57:00 PM,C,32.5
6/16/25 3:02:00 PM,C,32.5
6/16/25 3:07:00 PM,C,32.5
6/16/25 3:12:00 PM,C,32.5
6/16/25 3:17:00 PM,C,32.5
6/16/25 3:22:00 PM,C,32.5
6/16/25 3:27:00 PM,C,32.5
6/16/25 3:32:00 PM,C,32.5
6/16/25 3:37:00 PM,C,32.5
6/16/25 3:42:00 PM,C,32.5
6/16/25 3:47:00 PM,C,32.5
6/16/25 3:52:00 PM,C,32.5
6/16/25 3:57:00 PM,C,32.5
6/16/25 4:02:00 PM,C,32.5
6/16/25 4:07:00 PM,C,32.5
6/16/25 4:12:00 PM,C,32.5
6/16/25 4:17:00 PM,C,32.5
6/16/25 4:22:00 PM,C,32.5
6/16/25 4:27:00 PM,C,32.5
6/16/25 4:32:00 PM,C,32.5
6/16/25 4:37:00 PM,C,32.5
6/16/25 4:42:00 PM,C,32.5
6/16/25 4:47:00 PM,C,32.5
6/16/25 4:52:00 PM,C,32.5
6/16/25 4:57:00 PM,C,32.5
6/16/25 5:02:00 PM,C,32.5
6/16/25 5:07:00 PM,C,32.5
6/16/25 5:12:00 PM,C,32.5
6/16/25 5:17:00 PM,C,32.5
6/16/25 5:22:00 PM,C,32.5
6/16/25 5:27:00 PM,C,32.5
6/16/25 5:32:00 PM,C,32.5
6/16/25 5:37:00 PM,C,32.5
6/16/25 5:42:00 PM,C,32.5
6/16/25 5:47:00 PM,C,32.5
6/16/25 5:52:00 PM,C,32.5
6/16/25 5:57:00 PM,C,32.5
6/16/25 6:02:00 PM,C,32.5
6/16/25 6:07:00 PM,C,32.5
6/16/25 6:12:00 PM,C,32.5
6/16/25 6:17:00 PM,C,32.5
6/16/25 6:22:00 PM,C,32.5
6/16/25 6:27:00 PM,C,32.5
6/16/25 6:32:00 PM,C,32.5
6/16/25 6:37:00 PM,C,32.5
6/16/25 6:42:00 PM,C,32.5
6/16/25 6:47:00 PM,C,32.5
6/16/25 6:52:00 PM,C,32.5
6/16/25 6:57:00 PM,C,32.5
6/16/25 7:02:00 PM,C,32.5
6/16/25 7:07:00 PM,C,32.5
6/16/25 7:12:00 PM,C,32.5
6/16/25 7:17:00 PM,C,32.5
6/16/25 7:22:00 PM,C,32.5
6/16/25 7:27:00 PM,C,32.5
6/16/25 7:32:00 PM,C,32.5
6/16/25 7:37:00 PM,C,32.5
6/16/25 7:42:00 PM,C,32.5
6/16/25 7:47:00 PM,C,32.5
