1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7E0000006A828721
Is Mission Active?  false
Mission Start:  Fri Jun 27 16:10:00 EDT 2025
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  39
Total Samples:  1236
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/27/25 4:10:00 PM,C,25
6/27/25 4:15:00 PM,C,22.5
6/27/25 4:20:00 PM,C,32.5
6/27/25 4:25:00 PM,C,33.5
6/27/25 4:30:00 PM,C,34.5
6/27/25 4:35:00 PM,C,35
6/27/25 4:40:00 PM,C,36
6/27/25 4:45:00 PM,C,36.5
6/27/25 4:50:00 PM,C,37
6/27/25 4:55:00 PM,C,38
6/27/25 5:00:00 PM,C,38
6/27/25 5:05:00 PM,C,38.5
6/27/25 5:10:00 PM,C,39
6/27/25 5:15:00 PM,C,39.5
6/27/25 5:20:00 PM,C,39.5
6/27/25 5:25:00 PM,C,40
6/27/25 5:30:00 PM,C,40
6/27/25 5:35:00 PM,C,40
6/27/25 5:40:00 PM,C,40
6/27/25 5:45:00 PM,C,40.5
6/27/25 5:50:00 PM,C,40.5
6/27/25 5:55:00 PM,C,40.5
6/27/25 6:00:00 PM,C,40.5
6/27/25 6:05:00 PM,C,40.5
6/27/25 6:10:00 PM,C,40.5
6/27/25 6:15:00 PM,C,40.5
6/27/25 6:20:00 PM,C,40.5
6/27/25 6:25:00 PM,C,40.5
6/27/25 6:30:00 PM,C,40
6/27/25 6:35:00 PM,C,38
6/27/25 6:40:00 PM,C,36.5
6/27/25 6:45:00 PM,C,35.5
6/27/25 6:50:00 PM,C,34.5
6/27/25 6:55:00 PM,C,22
6/27/25 7:00:00 PM,C,22
6/27/25 7:05:00 PM,C,22
6/27/25 7:10:00 PM,C,21.5
6/27/25 7:15:00 PM,C,21.5
6/27/25 7:20:00 PM,C,25.5
