------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Pulse
Rate_Hz,25
UTC,0.00
Day light saving time,No
Window_Sec,5
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Mussel_1
S2,Mussel_2
S3,Mussel_3
S4,Mussel_4
S5,Mussel_5
S6,Mussel_6
S7,Mussel_7
S8,Mussel_8
S9,S9
S10,S10
------------------------------,--------------------
Time,Mussel_1,Mussel_2,Mussel_3,Mussel_4,Mussel_5,Mussel_6,Mussel_7,Mussel_8,S9,S10
2000-01-01 00:04:35.651,1515,1573,1523,1613,1606,1580,1598,1524,1554,1533
2000-01-01 00:04:36.006,1519,1571,1525,1613,1605,1583,1605,1533,1563,1532
2000-01-01 00:04:36.046,1525,1577,1529,1613,1608,1587,1607,1545,1565,1547
2000-01-01 00:04:36.086,1525,1579,1529,1613,1608,1587,1608,1546,1565,1559
2000-01-01 00:04:36.126,1526,1577,1531,1615,1607,1583,1608,1546,1565,1563
2000-01-01 00:04:36.166,1527,1577,1528,1615,1605,1584,1610,1547,1567,1561
2000-01-01 00:04:36.206,1525,1581,1530,1617,1608,1587,1612,1549,1571,1557
2000-01-01 00:04:36.246,1527,1580,1530,1619,1608,1587,1613,1547,1564,1559
2000-01-01 00:04:36.286,1525,1579,1531,1615,1608,1588,1608,1549,1566,1561
2000-01-01 00:04:36.326,1527,1577,1529,1615,1607,1587,1609,1549,1566,1560
2000-01-01 00:04:36.366,1527,1577,1532,1615,1607,1588,1611,1548,1565,1561
2000-01-01 00:04:36.406,1528,1579,1530,1615,1608,1588,1608,1547,1567,1561
2000-01-01 00:04:36.446,1529,1577,1531,1615,1605,1587,1609,1548,1567,1563
2000-01-01 00:04:36.486,1523,1576,1531,1618,1606,1586,1611,1546,1565,1559
2000-01-01 00:04:36.526,1527,1578,1534,1618,1606,1587,1609,1547,1567,1560
2000-01-01 00:04:36.566,1527,1578,1530,1617,1606,1587,1609,1547,1565,1563
2000-01-01 00:04:36.606,1527,1577,1530,1615,1607,1583,1609,1547,1566,1563
2000-01-01 00:04:36.646,1528,1577,1529,1619,1606,1587,1609,1546,1567,1564
2000-01-01 00:04:36.686,1529,1579,1531,1615,1605,1589,1611,1546,1565,1561
2000-01-01 00:04:36.726,1525,1577,1531,1614,1607,1587,1609,1547,1567,1561
2000-01-01 00:04:36.766,1527,1578,1531,1615,1607,1587,1609,1548,1566,1563
2000-01-01 00:04:36.806,1525,1580,1532,1615,1606,1589,1609,1547,1565,1560
2000-01-01 00:04:36.846,1527,1580,1531,1619,1605,1588,1609,1547,1567,1560
2000-01-01 00:04:36.886,1527,1580,1529,1615,1610,1587,1609,1547,1565,1559
2000-01-01 00:04:36.926,1525,1579,1529,1614,1608,1589,1609,1549,1565,1556
2000-01-01 00:04:36.966,1527,1581,1531,1619,1606,1586,1609,1546,1564,1559
2000-01-01 00:04:37.006,1526,1577,1531,1615,1608,1587,1610,1547,1565,1558
2000-01-01 00:04:37.046,1525,1579,1532,1614,1607,1589,1608,1547,1567,1559
2000-01-01 00:04:37.086,1525,1579,1529,1615,1607,1587,1610,1549,1567,1562
