------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Pulse
Rate_Hz,20
UTC,5.00
Day light saving time,No
Window_Sec,5
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Crep_1
S2,Crep_2
S3,Crep_3
S4,Crep_4
S5,Crep_5
S6,Crep_6
S7,Crep_7
S8,Crep_8
S9,Crep_9
S10,Crep_10
------------------------------,--------------------
Time,Crep_1,Crep_2,Crep_3,Crep_4,Crep_5,Crep_6,Crep_7,Crep_8,Crep_9,Crep_10
2024-06-04 15:16:24.629,1500,1582,1529,1630,1576,1518,1423,1421,1460,1459
2024-06-04 15:16:24.679,1491,1571,1509,1627,1563,1515,1385,1384,1407,1460
2024-06-04 15:16:24.729,1505,1576,1518,1610,1595,1565,1527,1491,1514,1525
2024-06-04 15:16:24.779,1509,1573,1514,1609,1597,1579,1598,1528,1561,1556
2024-06-04 15:16:24.829,1517,1579,1525,1606,1611,1593,1623,1559,1591,1572
2024-06-04 15:16:24.879,1515,1576,1523,1603,1613,1595,1627,1564,1595,1573
2024-06-04 15:16:24.929,1523,1565,1528,1607,1608,1580,1634,1565,1591,1565
2024-06-04 15:16:24.979,1525,1566,1527,1607,1611,1592,1626,1561,1596,1575
2024-06-04 15:16:25.029,1517,1575,1518,1605,1605,1587,1636,1557,1587,1572
2024-06-04 15:16:25.079,1515,1574,1518,1595,1599,1580,1624,1548,1580,1565
2024-06-04 15:16:25.129,1519,1578,1528,1608,1610,1591,1621,1559,1594,1575
2024-06-04 15:16:25.179,1519,1564,1523,1605,1603,1573,1614,1554,1575,1560
2024-06-04 15:16:25.229,1519,1574,1527,1609,1611,1577,1618,1556,1589,1563
2024-06-04 15:16:25.279,1530,1576,1520,1611,1604,1583,1627,1547,1579,1565
2024-06-04 15:16:25.329,1525,1581,1527,1609,1610,1591,1620,1555,1587,1571
2024-06-04 15:16:25.379,1529,1577,1541,1618,1606,1587,1622,1559,1579,1563
2024-06-04 15:16:25.429,1543,1588,1534,1625,1613,1595,1634,1557,1589,1573
2024-06-04 15:16:25.479,1547,1590,1542,1630,1619,1599,1635,1559,1591,1573
2024-06-04 15:16:25.529,1547,1583,1533,1627,1614,1596,1629,1557,1583,1575
2024-06-04 15:16:25.579,1532,1589,1543,1618,1623,1598,1619,1559,1589,1573
2024-06-04 15:16:25.629,1531,1580,1525,1623,1611,1587,1623,1548,1581,1567
2024-06-04 15:16:25.679,1519,1580,1525,1609,1609,1591,1607,1553,1581,1567
2024-06-04 15:16:25.729,1528,1586,1531,1627,1611,1593,1624,1553,1580,1568
2024-06-04 15:16:25.779,1519,1567,1526,1609,1592,1577,1604,1545,1563,1557
2024-06-04 15:16:25.829,1509,1567,1513,1611,1593,1574,1603,1526,1561,1556
2024-06-04 15:16:25.879,1516,1567,1525,1607,1597,1577,1597,1544,1560,1555
2024-06-04 15:16:25.929,1519,1565,1513,1611,1592,1574,1604,1528,1561,1557
2024-06-04 15:16:25.979,1511,1575,1519,1599,1597,1579,1591,1540,1571,1561
2024-06-04 15:16:26.029,1517,1563,1523,1606,1586,1567,1595,1540,1564,1551
2024-06-04 15:16:26.079,1519,1564,1529,1610,1605,1575,1599,1546,1577,1558
2024-06-04 15:16:26.129,1524,1571,1530,1612,1596,1576,1599,1551,1563,1557
2024-06-04 15:16:26.179,1524,1582,1527,1609,1607,1586,1598,1545,1575,1567
2024-06-04 15:16:26.229,1541,1580,1534,1624,1607,1588,1620,1547,1576,1565
