------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Pulse
Rate_Hz,25
UTC,0.00
Day light saving time,No
Window_Sec,5
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Mussel_1
S2,Mussel_2
S3,Mussel_3
S4,Mussel_4
S5,Mussel_5
S6,Mussel_6
S7,Mussel_7
S8,Mussel_8
S9,S9
S10,S10
------------------------------,--------------------
Time,Mussel_1,Mussel_2,Mussel_3,Mussel_4,Mussel_5,Mussel_6,Mussel_7,Mussel_8,S9,S10
2024-05-01 08:31:13.658,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:13.698,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:13.738,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:13.778,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:13.818,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.040,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.080,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.120,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.160,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.200,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.240,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.280,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.320,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.360,0,0,0,0,0,0,0,0,0,0
2024-05-01 08:31:14.400,0,0,0,1,0,0,0,0,0,0
2024-05-01 08:31:14.440,0,0,0,37,0,0,0,0,0,0
2024-05-01 08:31:14.480,0,0,0,110,0,0,0,0,0,0
2024-05-01 08:31:14.520,0,5,0,189,1,0,0,0,0,10
2024-05-01 08:31:14.560,0,74,0,264,72,0,0,0,27,57
2024-05-01 08:31:14.600,0,148,1,337,145,0,10,0,107,122
2024-05-01 08:31:14.640,0,217,42,410,213,0,73,43,172,200
2024-05-01 08:31:14.680,0,285,100,467,278,0,134,105,237,265
2024-05-01 08:31:14.720,0,349,156,520,347,41,191,175,307,329
2024-05-01 08:31:14.760,45,412,220,575,414,109,267,248,371,399
