------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Pulse
Rate_Hz,20
UTC,-5.00
Day light saving time,Yes
Window_Sec,5
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Crep_1
S2,Crep_2
S3,Crep_3
S4,Crep_4
S5,Crep_5
S6,Crep_6
S7,Crep_7
S8,Crep_8
S9,Crep_9
S10,Crep_10
------------------------------,--------------------
Time,Crep_1,Crep_2,Crep_3,Crep_4,Crep_5,Crep_6,Crep_7,Crep_8,Crep_9,Crep_10
2024-08-28 14:54:36.102,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.152,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.202,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.252,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.302,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.352,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.402,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.452,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.502,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.552,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.602,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.652,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.702,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:54:36.752,0,0,0,29,0,0,0,0,0,0
2024-08-28 14:54:36.802,0,0,0,127,3,0,0,0,25,0
2024-08-28 14:54:36.852,0,0,0,218,91,0,26,0,102,0
2024-08-28 14:54:36.902,0,43,4,311,178,0,105,17,199,0
2024-08-28 14:54:36.952,0,141,75,402,281,4,203,107,279,0
2024-08-28 14:54:37.002,0,231,160,487,357,77,294,185,367,25
2024-08-28 14:54:37.052,52,309,230,554,440,166,361,276,445,102
2024-08-28 14:54:37.102,116,393,311,616,520,250,439,356,521,168
2024-08-28 14:54:37.152,214,468,389,691,591,333,516,435,589,273
2024-08-28 14:54:37.202,285,550,467,740,659,405,589,509,639,342
2024-08-28 14:54:37.252,356,613,533,788,719,486,649,583,715,422
2024-08-28 14:54:37.302,432,678,595,844,779,559,712,649,764,494
2024-08-28 14:54:37.352,500,730,654,901,818,608,764,691,805,564
2024-08-28 14:54:37.402,565,776,691,944,869,665,815,742,853,627
2024-08-28 14:54:37.452,615,823,749,974,906,713,859,787,887,678
2024-08-28 14:54:37.502,661,869,782,1001,950,765,887,835,921,719
2024-08-28 14:54:37.552,701,893,815,1021,979,805,919,865,953,775
2024-08-28 14:54:37.602,751,927,861,1067,1005,841,965,901,984,815
2024-08-28 14:54:37.652,807,973,893,1102,1054,893,995,947,1030,871
2024-08-28 14:54:37.702,840,1001,922,1128,1077,923,1037,973,1049,902
2024-08-28 14:54:37.752,871,1041,968,1149,1111,953,1063,1011,1069,933
2024-08-28 14:54:37.802,909,1065,999,1176,1140,999,1091,1046,1099,971
2024-08-28 14:54:37.852,932,1096,1016,1191,1163,1023,1111,1069,1129,995
2024-08-28 14:54:37.902,971,1109,1048,1213,1174,1048,1138,1083,1140,1035
2024-08-28 14:54:37.952,996,1147,1075,1238,1211,1093,1165,1125,1179,1064
2024-08-28 14:54:38.002,1041,1172,1095,1269,1231,1113,1197,1144,1195,1100
2024-08-28 14:54:38.052,1061,1188,1115,1277,1251,1139,1199,1165,1211,1127
2024-08-28 14:54:38.102,1077,1195,1140,1293,1259,1147,1229,1182,1222,1138
2024-08-28 14:54:38.152,1093,1224,1150,1303,1288,1177,1239,1197,1242,1149
2024-08-28 14:54:38.202,1111,1240,1167,1315,1299,1192,1255,1213,1246,1171
2024-08-28 14:54:38.252,1127,1252,1183,1325,1306,1203,1269,1230,1263,1189
2024-08-28 14:54:38.302,1141,1257,1193,1334,1315,1209,1284,1229,1263,1203
2024-08-28 14:54:38.352,1149,1275,1204,1337,1325,1237,1289,1246,1291,1229
2024-08-28 14:54:38.402,1163,1278,1215,1348,1334,1245,1298,1257,1291,1227
