1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000006A9A2C21
Is Mission Active?  false
Mission Start:  Sat Jun 14 12:04:00 EDT 2025
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  540
Total Samples:  865
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/14/25 12:04:00 PM,C,24
6/14/25 12:09:00 PM,C,25
6/14/25 12:14:00 PM,C,22.5
6/14/25 12:19:00 PM,C,23
6/14/25 12:24:00 PM,C,29.5
6/14/25 12:29:00 PM,C,29.5
6/14/25 12:34:00 PM,C,29.5
6/14/25 12:39:00 PM,C,29.5
6/14/25 12:44:00 PM,C,29
6/14/25 12:49:00 PM,C,29
6/14/25 12:54:00 PM,C,29
6/14/25 12:59:00 PM,C,29
6/14/25 1:04:00 PM,C,29
6/14/25 1:09:00 PM,C,28.5
6/14/25 1:14:00 PM,C,28.5
6/14/25 1:19:00 PM,C,28.5
6/14/25 1:24:00 PM,C,28.5
6/14/25 1:29:00 PM,C,28.5
6/14/25 1:34:00 PM,C,28.5
6/14/25 1:39:00 PM,C,28.5
6/14/25 1:44:00 PM,C,28.5
6/14/25 1:49:00 PM,C,28.5
6/14/25 1:54:00 PM,C,28.5
6/14/25 1:59:00 PM,C,28.5
6/14/25 2:04:00 PM,C,28
6/14/25 2:09:00 PM,C,28
6/14/25 2:14:00 PM,C,28
6/14/25 2:19:00 PM,C,28
6/14/25 2:24:00 PM,C,28
6/14/25 2:29:00 PM,C,28
6/14/25 2:34:00 PM,C,28
6/14/25 2:39:00 PM,C,28
6/14/25 2:44:00 PM,C,28
6/14/25 2:49:00 PM,C,28
6/14/25 2:54:00 PM,C,28
6/14/25 2:59:00 PM,C,28
6/14/25 3:04:00 PM,C,28
6/14/25 3:09:00 PM,C,28
6/14/25 3:14:00 PM,C,28
6/14/25 3:19:00 PM,C,28
6/14/25 3:24:00 PM,C,28
6/14/25 3:29:00 PM,C,28
6/14/25 3:34:00 PM,C,28
6/14/25 3:39:00 PM,C,28
6/14/25 3:44:00 PM,C,28
6/14/25 3:49:00 PM,C,28
6/14/25 3:54:00 PM,C,28
6/14/25 3:59:00 PM,C,28
6/14/25 4:04:00 PM,C,28
6/14/25 4:09:00 PM,C,28
6/14/25 4:14:00 PM,C,28
6/14/25 4:19:00 PM,C,28
6/14/25 4:24:00 PM,C,28
6/14/25 4:29:00 PM,C,28
6/14/25 4:34:00 PM,C,28
6/14/25 4:39:00 PM,C,28
6/14/25 4:44:00 PM,C,28
6/14/25 4:49:00 PM,C,28
6/14/25 4:54:00 PM,C,28
6/14/25 4:59:00 PM,C,28
6/14/25 5:04:00 PM,C,28
6/14/25 5:09:00 PM,C,28
6/14/25 5:14:00 PM,C,28
6/14/25 5:19:00 PM,C,28
6/14/25 5:24:00 PM,C,28
6/14/25 5:29:00 PM,C,28
6/14/25 5:34:00 PM,C,28
6/14/25 5:39:00 PM,C,28
6/14/25 5:44:00 PM,C,28
6/14/25 5:49:00 PM,C,28
6/14/25 5:54:00 PM,C,28
6/14/25 5:59:00 PM,C,28
