------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Pulse
Rate_Hz,20
UTC,5.00
Day light saving time,No
Window_Sec,5
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Crep_1
S2,Crep_2
S3,Crep_3
S4,Crep_4
S5,Crep_5
S6,Crep_6
S7,Crep_7
S8,Crep_8
S9,Crep_9
S10,Crep_10
------------------------------,--------------------
Time,Crep_1,Crep_2,Crep_3,Crep_4,Crep_5,Crep_6,Crep_7,Crep_8,Crep_9,Crep_10
2024-06-04 15:19:09.671,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:09.721,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:09.771,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.010,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.060,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.110,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.160,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.210,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.260,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.310,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.360,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.410,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.460,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.510,0,0,0,0,0,0,0,0,0,0
2024-06-04 15:19:10.560,0,0,0,63,0,0,0,0,0,0
2024-06-04 15:19:10.610,0,0,0,155,0,0,0,0,0,0
2024-06-04 15:19:10.660,0,57,0,248,53,0,0,0,0,23
2024-06-04 15:19:10.710,0,151,0,344,155,0,7,0,92,103
2024-06-04 15:19:10.760,0,246,31,431,251,0,73,45,187,201
2024-06-04 15:19:10.810,0,337,107,509,344,4,163,134,280,296
2024-06-04 15:19:10.860,1,415,186,584,423,72,247,220,361,375
2024-06-04 15:19:10.910,75,499,274,653,503,159,333,307,440,454
2024-06-04 15:19:10.960,153,565,347,715,572,238,409,383,507,532
2024-06-04 15:19:11.010,239,636,425,775,647,329,490,466,583,602
2024-06-04 15:19:11.060,319,701,495,828,711,409,563,541,650,665
2024-06-04 15:19:11.110,416,760,579,893,765,482,639,613,712,725
2024-06-04 15:19:11.160,476,815,633,931,827,559,695,675,767,783
2024-06-04 15:19:11.210,553,863,689,981,871,616,758,738,811,827
2024-06-04 15:19:11.260,611,919,749,1018,932,676,811,793,871,875
2024-06-04 15:19:11.310,663,957,791,1059,969,739,869,830,913,925
2024-06-04 15:19:11.360,714,995,831,1087,1007,792,895,877,952,958
2024-06-04 15:19:11.410,764,1037,877,1118,1047,844,939,923,991,1001
2024-06-04 15:19:11.460,819,1067,917,1158,1078,883,995,956,1022,1043
2024-06-04 15:19:11.510,861,1103,957,1180,1117,933,1019,1002,1065,1079
2024-06-04 15:19:11.560,923,1135,1001,1225,1150,979,1075,1045,1097,1111
2024-06-04 15:19:11.610,947,1165,1036,1238,1183,1017,1097,1081,1127,1131
2024-06-04 15:19:11.660,989,1189,1059,1268,1204,1049,1137,1101,1150,1171
2024-06-04 15:19:11.710,1015,1223,1093,1279,1235,1085,1157,1133,1183,1196
2024-06-04 15:19:11.760,1045,1241,1114,1299,1253,1114,1191,1157,1204,1213
2024-06-04 15:19:11.810,1067,1253,1130,1321,1263,1129,1206,1175,1209,1229
2024-06-04 15:19:11.860,1093,1259,1151,1327,1273,1145,1222,1194,1224,1244
2024-06-04 15:19:11.910,1107,1285,1170,1333,1299,1176,1229,1205,1247,1267
2024-06-04 15:19:11.960,1129,1301,1187,1350,1318,1201,1249,1226,1261,1287
2024-06-04 15:19:12.010,1145,1307,1197,1357,1325,1210,1261,1239,1273,1299
2024-06-04 15:19:12.060,1162,1321,1211,1369,1337,1231,1275,1251,1286,1309
2024-06-04 15:19:12.110,1190,1341,1235,1388,1358,1255,1301,1272,1307,1327
2024-06-04 15:19:12.160,1211,1356,1258,1406,1370,1263,1324,1297,1321,1332
2024-06-04 15:19:12.210,1237,1363,1271,1420,1380,1287,1338,1309,1327,1350
2024-06-04 15:19:12.260,1240,1379,1277,1422,1397,1307,1341,1316,1349,1367
2024-06-04 15:19:12.310,1252,1383,1289,1427,1401,1317,1354,1322,1353,1372
2024-06-04 15:19:12.360,1256,1381,1277,1434,1395,1310,1363,1317,1343,1371
2024-06-04 15:19:12.410,1267,1384,1291,1436,1401,1321,1370,1324,1353,1383
2024-06-04 15:19:12.460,1273,1385,1306,1439,1413,1335,1371,1337,1366,1390
2024-06-04 15:19:12.510,1285,1403,1310,1443,1427,1349,1379,1343,1378,1396
2024-06-04 15:19:12.560,1302,1407,1319,1461,1427,1351,1397,1357,1374,1389
2024-06-04 15:19:12.610,1319,1418,1327,1464,1437,1369,1400,1363,1388,1413
2024-06-04 15:19:12.660,1327,1430,1356,1481,1447,1378,1421,1387,1395,1419
2024-06-04 15:19:12.710,1339,1435,1355,1492,1455,1388,1432,1389,1407,1430
2024-06-04 15:19:12.760,1335,1435,1353,1489,1453,1388,1433,1379,1404,1431
2024-06-04 15:19:12.810,1331,1436,1358,1480,1447,1383,1426,1383,1402,1427
2024-06-04 15:19:12.860,1328,1438,1356,1477,1458,1390,1431,1383,1405,1434
2024-06-04 15:19:12.910,1338,1447,1365,1483,1461,1401,1431,1390,1407,1433
2024-06-04 15:19:12.960,1331,1439,1353,1483,1457,1391,1435,1383,1403,1435
2024-06-04 15:19:13.010,1341,1448,1365,1485,1465,1403,1430,1391,1419,1444
2024-06-04 15:19:13.060,1363,1452,1381,1500,1471,1406,1396,1379,1400,1435
2024-06-04 15:19:13.110,1367,1467,1386,1503,1485,1427,1433,1401,1427,1448
2024-06-04 15:19:13.160,1365,1451,1382,1497,1471,1414,1445,1404,1421,1443
2024-06-04 15:19:13.210,1365,1462,1386,1501,1486,1431,1454,1417,1438,1460
2024-06-04 15:19:13.260,1373,1464,1395,1505,1494,1427,1467,1425,1437,1455
2024-06-04 15:19:13.310,1387,1462,1392,1511,1485,1433,1476,1415,1443,1464
2024-06-04 15:19:13.360,1375,1467,1391,1500,1492,1439,1465,1421,1449,1469
2024-06-04 15:19:13.410,1377,1470,1398,1508,1496,1445,1467,1427,1451,1469
2024-06-04 15:19:13.460,1389,1470,1399,1514,1495,1446,1484,1423,1450,1471
2024-06-04 15:19:13.510,1386,1479,1404,1511,1497,1450,1479,1429,1455,1478
2024-06-04 15:19:13.560,1385,1477,1402,1512,1499,1449,1468,1431,1453,1477
2024-06-04 15:19:13.610,1403,1479,1404,1527,1502,1454,1493,1432,1461,1479
2024-06-04 15:19:13.660,1406,1496,1427,1547,1517,1469,1510,1447,1471,1490
2024-06-04 15:19:13.710,1423,1495,1422,1546,1514,1469,1507,1447,1476,1491
2024-06-04 15:19:13.760,1415,1499,1430,1531,1519,1472,1508,1449,1479,1492
2024-06-04 15:19:13.810,1421,1499,1437,1544,1524,1478,1507,1455,1485,1487
2024-06-04 15:19:13.860,1422,1493,1432,1542,1511,1467,1501,1454,1465,1485
2024-06-04 15:19:13.910,1417,1497,1430,1532,1523,1481,1501,1454,1481,1498
2024-06-04 15:19:13.960,1429,1493,1437,1543,1527,1485,1502,1453,1484,1497
2024-06-04 15:19:14.010,1422,1497,1432,1545,1517,1479,1513,1448,1477,1494
2024-06-04 15:19:14.060,1429,1511,1444,1546,1529,1493,1526,1461,1491,1501
2024-06-04 15:19:14.110,1445,1510,1452,1561,1529,1492,1524,1459,1490,1501
2024-06-04 15:19:14.160,1433,1513,1449,1555,1541,1496,1528,1463,1493,1507
2024-06-04 15:19:14.210,1439,1508,1454,1557,1527,1489,1524,1471,1485,1499
2024-06-04 15:19:14.260,1431,1503,1437,1555,1527,1489,1518,1453,1482,1501
2024-06-04 15:19:14.312,1439,1508,1454,1556,1543,1487,1519,1471,1486,1500
2024-06-04 15:19:14.362,1446,1517,1453,1557,1548,1506,1528,1470,1499,1508
2024-06-04 15:19:14.412,1444,1509,1444,1560,1541,1496,1527,1460,1491,1503
2024-06-04 15:19:14.462,1447,1509,1455,1555,1547,1500,1515,1465,1495,1507
2024-06-04 15:19:14.512,1437,1516,1449,1550,1544,1501,1527,1464,1497,1502
2024-06-04 15:19:14.562,1455,1519,1467,1566,1551,1513,1531,1482,1509,1510
2024-06-04 15:19:14.612,1445,1525,1456,1573,1549,1509,1543,1469,1500,1507
2024-06-04 15:19:14.662,1451,1527,1463,1561,1553,1511,1543,1485,1501,1509
2024-06-04 15:19:14.712,1449,1517,1460,1571,1545,1507,1542,1485,1496,1506
2024-06-04 15:19:14.762,1456,1517,1469,1567,1559,1516,1529,1481,1509,1514
2024-06-04 15:19:14.812,1447,1511,1447,1565,1542,1501,1529,1461,1492,1502
2024-06-04 15:19:14.860,1447,1510,1455,1553,1546,1501,1519,1468,1497,1497
2024-06-04 15:19:14.910,1445,1519,1460,1559,1549,1509,1525,1479,1506,1501
2024-06-04 15:19:14.960,1453,1523,1467,1562,1555,1515,1533,1481,1513,1517
2024-06-04 15:19:15.010,1453,1529,1465,1575,1559,1517,1554,1481,1510,1517
2024-06-04 15:19:15.060,1461,1519,1461,1574,1549,1513,1546,1477,1510,1516
2024-06-04 15:19:15.110,1469,1533,1487,1577,1567,1523,1555,1498,1524,1514
2024-06-04 15:19:15.160,1481,1543,1482,1575,1565,1531,1563,1495,1525,1529
2024-06-04 15:19:15.210,1469,1547,1483,1578,1567,1531,1549,1497,1527,1528
2024-06-04 15:19:15.260,1481,1532,1480,1577,1563,1529,1560,1493,1523,1529
2024-06-04 15:19:15.310,1481,1530,1485,1579,1573,1531,1555,1498,1529,1519
2024-06-04 15:19:15.360,1492,1540,1482,1588,1564,1533,1566,1497,1527,1531
2024-06-04 15:19:15.410,1480,1541,1487,1581,1574,1545,1558,1499,1531,1531
2024-06-04 15:19:15.460,1477,1551,1489,1581,1575,1545,1557,1506,1531,1528
2024-06-04 15:19:15.510,1481,1540,1479,1583,1563,1527,1560,1491,1516,1526
2024-06-04 15:19:15.560,1468,1540,1481,1575,1566,1543,1553,1493,1525,1527
2024-06-04 15:19:15.610,1462,1531,1471,1565,1561,1525,1543,1485,1516,1524
2024-06-04 15:19:15.660,1460,1517,1467,1573,1548,1515,1545,1477,1503,1515
2024-06-04 15:19:15.710,1469,1523,1479,1575,1554,1518,1549,1484,1508,1517
2024-06-04 15:19:15.760,1487,1545,1487,1582,1573,1545,1566,1500,1529,1531
2024-06-04 15:19:15.811,1478,1548,1490,1587,1565,1528,1511,1470,1499,1512
2024-06-04 15:19:15.861,1465,1544,1481,1579,1562,1525,1545,1478,1508,1517
2024-06-04 15:19:15.911,1483,1543,1495,1587,1561,1528,1559,1501,1521,1524
2024-06-04 15:19:15.961,1471,1547,1486,1579,1574,1543,1559,1498,1529,1531
2024-06-04 15:19:16.011,1483,1530,1489,1580,1561,1526,1567,1493,1519,1526
2024-06-04 15:19:16.061,1487,1543,1490,1590,1571,1543,1575,1502,1529,1533
2024-06-04 15:19:16.111,1471,1545,1485,1591,1572,1543,1577,1499,1529,1532
2024-06-04 15:19:16.161,1477,1545,1487,1580,1573,1545,1572,1500,1531,1532
2024-06-04 15:19:16.211,1483,1541,1481,1593,1567,1531,1573,1495,1526,1533
2024-06-04 15:19:16.261,1479,1531,1481,1589,1562,1528,1565,1491,1519,1525
2024-06-04 15:19:16.311,1481,1533,1490,1589,1564,1529,1566,1499,1526,1526
2024-06-04 15:19:16.361,1479,1547,1486,1586,1575,1545,1568,1498,1529,1532
2024-06-04 15:19:16.411,1479,1546,1483,1581,1573,1541,1558,1497,1528,1523
2024-06-04 15:19:16.461,1465,1540,1479,1576,1565,1531,1549,1492,1521,1527
2024-06-04 15:19:16.511,1479,1532,1489,1583,1576,1541,1561,1501,1525,1525
2024-06-04 15:19:16.561,1471,1533,1479,1575,1567,1530,1560,1491,1518,1529
2024-06-04 15:19:16.611,1480,1542,1496,1593,1566,1531,1563,1510,1528,1530
2024-06-04 15:19:16.661,1491,1548,1499,1593,1583,1541,1572,1511,1545,1529
2024-06-04 15:19:16.711,1483,1553,1493,1583,1578,1548,1567,1507,1532,1541
2024-06-04 15:19:16.761,1480,1548,1492,1583,1577,1544,1561,1503,1532,1531
